epoch;loss
0;49.534102792600386
1;48.47853774912963
2;47.69931451614236
3;47.02785167640065
4;46.47219470302755
5;45.97751745254207
6;45.55950753584709
7;45.12379114185218
8;44.75209217480302
9;44.400705499570726
0;44.07295395981258
1;43.75387879754027
2;43.44206725984242
3;43.14344614304263
4;42.851395758456455
5;42.55775932369232
6;42.24405083109163
7;41.975334266087806
8;41.709506411288494
9;41.44295113062873
0;41.182019951800854
1;40.89250210662516
2;40.63454674674603
3;40.369805871152316
4;40.12138089823947
5;39.91641578499664
6;39.62974201922953
7;39.382590000661665
8;39.138352616038475
9;38.90241681266914
0;38.62655181059753
1;38.36932751635174
2;38.15678785661611
3;37.90508608219767
4;37.6602639424655
5;37.415088272386946
6;37.16299634087426
7;36.945130493415235
8;36.72525862766723
9;36.51770469618364
0;36.21358188357793
1;36.000673922103026
2;35.81888445717472
3;35.589247593001254
4;35.34218392796785
5;35.12429126746773
6;34.870950061710495
7;34.65345394963679
8;34.42781563988328
9;34.25005678199272
0;34.02816740656503
1;33.820396792420794
2;33.572646381777155
3;33.37797443966926
4;33.19807149187693
5;32.9932821747914
6;32.774449211972666
7;32.60532184793356
8;32.40459120071202
9;32.22908921056829
0;32.04658257762708
1;31.850543640932102
2;31.658812677917812
3;31.530177334896624
4;31.339347830588864
5;31.152608163845272
6;31.027031858556107
7;30.8583537983792
8;30.68389268171449
9;30.621770843066304
0;30.475891816444676
1;30.30892118069642
2;30.139758164973596
3;30.13663482383989
4;29.977525633825085
5;29.884527434114826
6;29.790537809073918
7;29.731654959550838
8;29.602851543956927
9;29.474684868431773
0;29.37883095830212
1;29.329346720832923
2;29.21846270677172
3;29.146640081628032
4;29.06542032520552
5;28.99858272715522
6;28.86319423564969
7;28.8786926008232
8;28.78912589238812
9;28.694143295661856
0;28.67312534859563
1;28.62845712320287
2;28.597912463262126
3;28.53673208874584
4;28.46302008134874
5;28.42104263065092
6;28.377470038803757
7;28.399507198048656
8;28.330680954541915
9;28.211623380774263
0;28.2495429044591
1;28.153821476380834
2;28.178546966611993
3;28.178546617918503
4;28.132965175760567
5;28.11236380361881
6;28.0824099273244
7;28.072898682244364
8;28.028855328701482
9;28.036881565374458
0;27.984211202337427
1;27.97940199736138
2;27.941798684781055
3;27.94433757637979
4;27.952788042448333
5;27.940183631235467
6;27.848974210881746
7;27.834401861923418
8;27.847074485527227
9;27.806253223338658
0;27.728107481580622
1;27.659689657437504
2;27.638560703788567
3;27.563702287711838
4;27.53230925566063
5;27.46017734805605
6;27.417222024148554
7;27.443906611002078
8;27.361190653118275
9;27.323660235452284
0;27.265703700107085
1;27.201852317283926
2;27.210073414528118
3;27.147589388237375
4;27.149939279639693
5;27.071361277730468
6;26.999505340839576
7;26.893113793837994
8;26.820128451815194
9;26.83687069130919
0;26.666183906917936
1;26.637357397961054
2;26.61252725068506
3;26.47061560374953
4;26.38331281576258
5;26.399944636648158
6;26.358724499450446
7;26.2572615116523
8;26.27341587257681
9;26.20221851225125
0;26.164980132348788
1;26.155880593464374
2;26.069391354212616
3;26.05760300333385
4;25.967938285558386
5;26.011183035799913
6;25.91110822519168
7;25.974582899167466
8;26.03771561305306
9;25.89805939970862
0;25.840950178059003
1;25.864714778342684
2;25.809993819058246
3;25.826408364517825
4;25.75120116283384
5;25.703424678167284
0;25.879706280049646
1;25.8091767652773
2;25.80494415332541
3;25.801935398064497
4;25.782311253427636
5;25.738326621268396
6;25.750238210762948
7;25.810907035007926
8;25.739045469853444
9;25.71396543812595
0;25.677259394969326
1;25.57074123417431
2;25.592518255197646
3;25.6091411854186
4;25.582893120850276
5;25.57906668220974
6;25.602232211515304
7;25.513673621865358
8;25.47855572852302
9;25.516002276943887
0;25.611397181465684
1;25.478336634060064
2;25.472591695832584
3;25.51486763067223
4;25.473120668919684
5;25.485093055139163
6;25.441599012056187
7;25.38191115576905
8;25.437839871225226
9;25.41022683973844
0;25.351544193693716
1;25.39730854733374
2;25.37141607374013
3;25.342941357914327
4;25.394147551924277
5;25.336567863687396
6;25.259223507201295
7;25.299522290251797
8;25.356684287758643
9;25.284458425199492
0;25.32941079620089
1;25.295779803153753
2;25.270815105552742
3;25.256723732848318
4;25.17006782357901
5;25.196499169593828
6;25.20286256645648
7;25.192319270366
8;25.191296613896196
9;25.153513819615842
0;25.197225300374996
1;25.146336061815653
2;25.12105465789877
3;25.13262966167491
4;25.239781548660766
5;25.145181636787537
6;25.16638061455887
7;25.108272146677884
8;25.138385694111427
9;25.08487342705488
0;25.0987012339983
1;25.074856295984972
2;25.152422077458333
3;25.11020503800928
